,Bird,City1-Latitude,City1-Longitude,City2-Latitude,City2-Longitude,City3-Latitude,City3-Longitude,City4-Latitude,City4-Longitude,City5-Latitude,City5-Longitude,City6-Latitude,City6-Longitude
119,Thraupis_palmarum,-27.5973002,-48.5496098,-30.0324999,-51.2303767,-31.7699736,-52.3410161,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
120,Dendrocincla_fuliginosa,-14.8349438,-64.9044936,,,-15.5986686,-56.0991301,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
121,Geotrygon_montana,-25.4295963,-49.2712724,-26.9195567,-49.0658025,-27.5973002,-48.5496098,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
122,Thryophilus_rufalbus,8.166667,-69.833333,7.0673313,-73.8525627,7.1114611,-73.1172869,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
123,Cyphorhinus_phaeocephalus,-1.0528066,-80.4534269,-1.0321138,-80.8223685,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
124,Troglodytes_aedon,-51.6177331,-69.2059514,-51.64607595,-69.26322885,-53.1625688,-70.907822,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
125,Euphonia_laniirostris,-15.5986686,-56.0991301,-17.7834936,-63.1820853,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
126,Callipepla_gambelii,29.0948291,-110.969219,28.5000001,-106.0000001,27.4846619,-109.9337782,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
127,Daptrius_ater,-14.6213903,-57.4907268,-14.8349438,-64.9044936,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
128,Cyanerpes_cyaneus,-14.792599,-39.0453843,-12.9822499,-38.4812772,-16.443473,-39.064251,-20.3200917,-40.3376682,-22.9110137,-43.2093727,46.3144754,11.0480288
129,Estrilda_melpoda,-16.8141943,26.9778589,-15.8584807,27.7613139,-15.4164488,28.2821535,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
130,Glaucidium_gnoma_gnoma,14.6539748,-90.92727412,15.6356088,-89.8988087,14.1056861,-87.204676,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
131,Guira_guira,-43.2531242,-65.3094407,-51.6177331,-69.2059514,-51.64607595,-69.26322885,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
132,Haemorhous_mexicanus,17,-96.5,16.6835469,-92.61551842,16.753801,-93.115959,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
133,Hylophylax_naevioides,3.5308373,-76.2988048,3.4517923,-76.5324943,3.6707494,-76.98077577,-0.340189,-79.1715494,46.3144754,11.0480288,46.3144754,11.0480288
134,Lagopus_leucura,36.4072377,-105.5732847,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288,46.3144754,11.0480288
135,Lanius_collaris,-33.0191604,27.8998573,-33.964444,22.459722,-29.861825,31.009909,-33.9617051,25.6207519,-33.928992,18.417396,46.3144754,11.0480288
136,Manacus_vitellinus,4.0856667,-76.1972779,3.9000578,-76.302013,3.6707494,-76.98077577,3.4517923,-76.5324943,46.3144754,11.0480288,46.3144754,11.0480288
137,Megascops_asio,26.1223084,-80.1433786,26.715364,-80.0532942,27.9477595,-82.458444,25.7741728,-80.19362,46.3144754,11.0480288,46.3144754,11.0480288
